Rezultati: 
Rezultat [natjecatelj=Natjecatelj [id=M14:2, godiste=14, spol=M, ukupanBrojBodova=40], redniBroj=1, vrijeme=55, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M18:30, godiste=18, spol=M, ukupanBrojBodova=13], redniBroj=16, vrijeme=991, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:36, godiste=18, spol=M, ukupanBrojBodova=15], redniBroj=22, vrijeme=8, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M18:25, godiste=18, spol=M, ukupanBrojBodova=0], redniBroj=16, vrijeme=59, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M18:27, godiste=18, spol=M, ukupanBrojBodova=81], redniBroj=18, vrijeme=244, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:38, godiste=18, spol=M, ukupanBrojBodova=49], redniBroj=24, vrijeme=287, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:23, godiste=18, spol=M, ukupanBrojBodova=17], redniBroj=14, vrijeme=295, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:29, godiste=18, spol=M, ukupanBrojBodova=28], redniBroj=19, vrijeme=335, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:32, godiste=18, spol=M, ukupanBrojBodova=32], redniBroj=21, vrijeme=347, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:31, godiste=18, spol=M, ukupanBrojBodova=18], redniBroj=20, vrijeme=415, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:22, godiste=18, spol=M, ukupanBrojBodova=57], redniBroj=13, vrijeme=420, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:37, godiste=18, spol=M, ukupanBrojBodova=12], redniBroj=23, vrijeme=446, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:26, godiste=18, spol=M, ukupanBrojBodova=18], redniBroj=17, vrijeme=671, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:24, godiste=18, spol=M, ukupanBrojBodova=33], redniBroj=15, vrijeme=760, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:38, godiste=18, spol=M, ukupanBrojBodova=49], redniBroj=19, vrijeme=133, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:22, godiste=18, spol=M, ukupanBrojBodova=57], redniBroj=11, vrijeme=165, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:33, godiste=18, spol=M, ukupanBrojBodova=15], redniBroj=17, vrijeme=223, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:30, godiste=18, spol=M, ukupanBrojBodova=13], redniBroj=14, vrijeme=355, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:31, godiste=18, spol=M, ukupanBrojBodova=18], redniBroj=15, vrijeme=505, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:32, godiste=18, spol=M, ukupanBrojBodova=32], redniBroj=16, vrijeme=529, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:37, godiste=18, spol=M, ukupanBrojBodova=12], redniBroj=18, vrijeme=653, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:26, godiste=18, spol=M, ukupanBrojBodova=18], redniBroj=13, vrijeme=663, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M18:23, godiste=18, spol=M, ukupanBrojBodova=17], redniBroj=12, vrijeme=909, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:60, godiste=25, spol=M, ukupanBrojBodova=25], redniBroj=28, vrijeme=132, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:53, godiste=25, spol=M, ukupanBrojBodova=26], redniBroj=24, vrijeme=209, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:59, godiste=25, spol=M, ukupanBrojBodova=17], redniBroj=27, vrijeme=223, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:42, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=19, vrijeme=259, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:47, godiste=25, spol=M, ukupanBrojBodova=38], redniBroj=21, vrijeme=501, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:57, godiste=25, spol=M, ukupanBrojBodova=43], redniBroj=26, vrijeme=508, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:54, godiste=25, spol=M, ukupanBrojBodova=6], redniBroj=25, vrijeme=628, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:50, godiste=25, spol=M, ukupanBrojBodova=37], redniBroj=22, vrijeme=679, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:41, godiste=25, spol=M, ukupanBrojBodova=24], redniBroj=18, vrijeme=786, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:52, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=23, vrijeme=798, brojBodova=1, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:44, godiste=25, spol=M, ukupanBrojBodova=33], redniBroj=20, vrijeme=867, brojBodova=0, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:57, godiste=25, spol=M, ukupanBrojBodova=43], redniBroj=32, vrijeme=110, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:48, godiste=25, spol=M, ukupanBrojBodova=55], redniBroj=28, vrijeme=202, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:42, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=26, vrijeme=602, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:41, godiste=25, spol=M, ukupanBrojBodova=24], redniBroj=25, vrijeme=622, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:55, godiste=25, spol=M, ukupanBrojBodova=10], redniBroj=30, vrijeme=629, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:46, godiste=25, spol=M, ukupanBrojBodova=18], redniBroj=27, vrijeme=771, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:52, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=29, vrijeme=802, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:56, godiste=25, spol=M, ukupanBrojBodova=4], redniBroj=31, vrijeme=868, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:59, godiste=25, spol=M, ukupanBrojBodova=17], redniBroj=33, vrijeme=985, brojBodova=2, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:58, godiste=25, spol=M, ukupanBrojBodova=45], redniBroj=32, vrijeme=235, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:48, godiste=25, spol=M, ukupanBrojBodova=55], redniBroj=26, vrijeme=279, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:49, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=27, vrijeme=343, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:51, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=29, vrijeme=491, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:52, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=30, vrijeme=702, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:50, godiste=25, spol=M, ukupanBrojBodova=37], redniBroj=28, vrijeme=745, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:41, godiste=25, spol=M, ukupanBrojBodova=24], redniBroj=25, vrijeme=799, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:57, godiste=25, spol=M, ukupanBrojBodova=43], redniBroj=31, vrijeme=815, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:50, godiste=25, spol=M, ukupanBrojBodova=37], redniBroj=30, vrijeme=128, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:47, godiste=25, spol=M, ukupanBrojBodova=38], redniBroj=27, vrijeme=445, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:48, godiste=25, spol=M, ukupanBrojBodova=55], redniBroj=28, vrijeme=459, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:49, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=29, vrijeme=475, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:52, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=31, vrijeme=504, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:44, godiste=25, spol=M, ukupanBrojBodova=33], redniBroj=26, vrijeme=683, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:53, godiste=25, spol=M, ukupanBrojBodova=26], redniBroj=32, vrijeme=736, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:41, godiste=25, spol=M, ukupanBrojBodova=24], redniBroj=25, vrijeme=851, brojBodova=4, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:54, godiste=25, spol=M, ukupanBrojBodova=6], redniBroj=26, vrijeme=2, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M25:42, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=20, vrijeme=37, brojBodova=0, diskvalificiran=true]
Rezultat [natjecatelj=Natjecatelj [id=M25:44, godiste=25, spol=M, ukupanBrojBodova=33], redniBroj=22, vrijeme=119, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:58, godiste=25, spol=M, ukupanBrojBodova=45], redniBroj=28, vrijeme=410, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:51, godiste=25, spol=M, ukupanBrojBodova=27], redniBroj=25, vrijeme=474, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:43, godiste=25, spol=M, ukupanBrojBodova=12], redniBroj=21, vrijeme=521, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:46, godiste=25, spol=M, ukupanBrojBodova=18], redniBroj=23, vrijeme=579, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:47, godiste=25, spol=M, ukupanBrojBodova=38], redniBroj=24, vrijeme=866, brojBodova=8, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M25:57, godiste=25, spol=M, ukupanBrojBodova=43], redniBroj=27, vrijeme=895, brojBodova=6, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:79, godiste=35, spol=M, ukupanBrojBodova=39], redniBroj=36, vrijeme=245, brojBodova=25, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:75, godiste=35, spol=M, ukupanBrojBodova=20], redniBroj=33, vrijeme=491, brojBodova=20, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:65, godiste=35, spol=M, ukupanBrojBodova=15], redniBroj=30, vrijeme=527, brojBodova=15, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:77, godiste=35, spol=M, ukupanBrojBodova=57], redniBroj=35, vrijeme=585, brojBodova=12, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:62, godiste=35, spol=M, ukupanBrojBodova=58], redniBroj=29, vrijeme=643, brojBodova=10, diskvalificiran=false]
Rezultat [natjecatelj=Natjecatelj [id=M35:70, godiste=35, spol=M, ukupanBrojBodova=33], redniBroj=32, vrijeme=651, brojBodova=8, diskvalificiran=false]
